product_name,retail_price,per_from_retail,wholesale_price,brand,category,sub_category
BRILLIANT WHITE 1L LUXURY SHIELD 9102A,2313.4111276607487,0.7039664317360657,1910.4659309571284,Causeway Paints,Paints,Shield Paint
BRILLIANT WHITE 1L LUXURY GLO 9102A,2095.3747390067715,0.8091439092355902,1528.6866971033357,Causeway Paints,Paints,Interior Paint
RED FLOOR PAINT QD02 1L KENLUX,4860.793151604768,0.6357197058560966,2933.2830515878154,Causeway Paints,Paints,Floor Paint
BROWN ANTICORROSIVE AC06 1L KENLUX,3160.860328991295,0.7395971319641504,2012.7267217847716,Causeway Paints,Paints,Anticorrosive
MAHOGANY ENAMEL 1509 1L KENLUX,4069.2256264172347,0.6247335609545369,2526.563507775719,Causeway Paints,Paints,Enamel Paint
"4"" CLASSIC PAINT BRUSH HARRIS",1878.5975377707653,0.7301304789895809,1167.4073695286156,Harris,Paints,Paint Brush
PAINT REMOVER 190ML,432.873531488884,0.620707473406938,289.7647363493411,Sayerlack,Paints,Wood Preservative
W/B WOOD PUTTY 17 TEAK 250G JAT,560.8851549743683,0.5853535828243254,437.36999803212655,JAT,Paints,Wood Putty
WOOD LACQUER SATIN 1L F5588 SUNNY,4606.664983817805,0.7475999200675958,3720.8132788621465,Causeway Paints,Paints,Wood Lacquer & Varnish
BLACK BOARD PAINT BLACK 1L KENLUX,3980.669981686943,0.7459738379663756,2548.2433095050446,Causeway Paints,Paints,Black Board & Paints
DARK GREEN 12 S/P TOA,1593.4617637343827,0.641591245575662,1207.0888644455413,TOA,Paints,Toa Spray Paints
FLOOR POLISH RED 400G ROYAL,1057.9543997037267,0.7205891412366445,727.1861102284003,ROYAL,Paints,Floor Polish
171 UNIVERSAL THINNER 1L CAUSEWAY,2751.369593718832,0.6450591930606888,1844.4738421128147,Causeway Paints,Paints,Thinner
WALL FILLER LUXURY 1L CAUSEWAY,715.6689615310869,0.5721930372347201,530.2349309118533,Causeway Paints,Paints,Wall Filler & Putty
"3"" SCRAPER RHP",374.81444222855583,0.6078579224385643,215.4310935518976,AMT,Paints,Paints Preparation
ZINC PHOSPHATE QD PRIMER BLACK 1L,3728.7281619114437,0.7850785511315913,2838.979709759508,Causeway Paints,Paints,Decorative Paints
SPRAY GUN F75G 1.3MM / 1.4MM VOYLET,7565.977441793752,0.8025095038416268,5377.596412203144,VOYLET,Paints,Paint Accessories
